source,experiment,method,metric,value,split,notes
Qwen3-0.6B_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B,prompt_consistency,0.381000,test,items=1000
Qwen3-1.7B_non_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:non_thinking:zero_shot:direct,order_consistency,0.153000,test,matched=1000
Qwen3-1.7B_non_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:non_thinking:zero_shot:judge,order_consistency,0.351000,test,matched=1000
Qwen3-1.7B_non_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:non_thinking:zero_shot:minimal,order_consistency,0.549000,test,matched=1000
Qwen3-1.7B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:non_thinking:zero_shot:direct,accuracy,0.534000,test,
Qwen3-1.7B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:non_thinking:zero_shot:judge,accuracy,0.557000,test,
Qwen3-1.7B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:non_thinking:zero_shot:minimal,accuracy,0.703000,test,
Qwen3-1.7B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:non_thinking:zero_shot,prompt_consistency,0.255000,test,items=1000
Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:non_thinking:few_shot_8:direct,accuracy,0.500000,test,
Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:non_thinking:few_shot_8:judge,accuracy,0.500000,test,
Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:non_thinking:few_shot_8:minimal,accuracy,0.501000,test,
Qwen3-1.7B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:non_thinking:few_shot_8,prompt_consistency,0.999000,test,items=1000
Qwen3-1.7B_non_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:non_thinking:zero_shot:direct,accuracy,0.565000,test,
Qwen3-1.7B_non_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:non_thinking:zero_shot:judge,accuracy,0.574000,test,
Qwen3-1.7B_non_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:non_thinking:zero_shot:minimal,accuracy,0.706000,test,
Qwen3-1.7B_non_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B,prompt_consistency,0.261000,test,items=1000
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:direct,accuracy,0.563000,test,
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:judge,accuracy,0.570000,test,
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:minimal,accuracy,0.701000,test,
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5,prompt_consistency,0.252000,test,items=1000
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:direct,sampling_consistency,0.967200,test,items=1000
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:judge,sampling_consistency,0.947400,test,items=1000
Qwen3-1.7B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3-1.7B:non_thinking:zero_shot_self_consistency_k5:minimal,sampling_consistency,0.970400,test,items=1000
Qwen3-1.7B_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:thinking:zero_shot:direct,order_consistency,0.929000,test,matched=1000
Qwen3-1.7B_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:thinking:zero_shot:judge,order_consistency,0.908000,test,matched=1000
Qwen3-1.7B_thinking_order_metrics.csv,order_consistency,Qwen3-1.7B:thinking:zero_shot:minimal,order_consistency,0.811000,test,matched=1000
Qwen3-1.7B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:thinking:zero_shot:direct,accuracy,0.949000,test,
Qwen3-1.7B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:thinking:zero_shot:judge,accuracy,0.932000,test,
Qwen3-1.7B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:thinking:zero_shot:minimal,accuracy,0.888000,test,
Qwen3-1.7B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-1.7B:thinking:zero_shot,prompt_consistency,0.834000,test,items=1000
Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:thinking:few_shot_8:direct,accuracy,0.931000,test,
Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:thinking:few_shot_8:judge,accuracy,0.920000,test,
Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:thinking:few_shot_8:minimal,accuracy,0.891000,test,
Qwen3-1.7B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-1.7B:thinking:few_shot_8,prompt_consistency,0.849000,test,items=1000
Qwen3-1.7B_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:thinking:zero_shot:direct,accuracy,0.952000,test,
Qwen3-1.7B_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:thinking:zero_shot:judge,accuracy,0.938000,test,
Qwen3-1.7B_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B:thinking:zero_shot:minimal,accuracy,0.885000,test,
Qwen3-1.7B_thinking_test_metrics.csv,zero_shot,Qwen3-1.7B,prompt_consistency,0.849000,test,items=1000
Qwen3.5-0.8B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:non_thinking:zero_shot:direct,order_consistency,0.293000,test,matched=1000
Qwen3.5-0.8B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:non_thinking:zero_shot:judge,order_consistency,0.462000,test,matched=1000
Qwen3.5-0.8B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:non_thinking:zero_shot:minimal,order_consistency,0.480000,test,matched=1000
Qwen3.5-0.8B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:non_thinking:zero_shot:direct,accuracy,0.451000,test,
Qwen3.5-0.8B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:non_thinking:zero_shot:judge,accuracy,0.499000,test,
Qwen3.5-0.8B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:non_thinking:zero_shot:minimal,accuracy,0.511000,test,
Qwen3.5-0.8B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:non_thinking:zero_shot,prompt_consistency,0.242000,test,items=1000
Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:non_thinking:few_shot_8:direct,accuracy,0.494000,test,
Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:non_thinking:few_shot_8:judge,accuracy,0.498000,test,
Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:non_thinking:few_shot_8:minimal,accuracy,0.481000,test,
Qwen3.5-0.8B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:non_thinking:few_shot_8,prompt_consistency,0.291000,test,items=1000
Qwen3.5-0.8B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:non_thinking:zero_shot:direct,accuracy,0.470000,test,
Qwen3.5-0.8B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:non_thinking:zero_shot:judge,accuracy,0.515000,test,
Qwen3.5-0.8B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:non_thinking:zero_shot:minimal,accuracy,0.547000,test,
Qwen3.5-0.8B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B,prompt_consistency,0.232000,test,items=1000
Qwen3.5-0.8B_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:thinking:zero_shot:direct,order_consistency,0.613000,test,matched=1000
Qwen3.5-0.8B_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:thinking:zero_shot:judge,order_consistency,0.514000,test,matched=1000
Qwen3.5-0.8B_thinking_order_metrics.csv,order_consistency,Qwen3.5-0.8B:thinking:zero_shot:minimal,order_consistency,0.566000,test,matched=1000
Qwen3.5-0.8B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:thinking:zero_shot:direct,accuracy,0.743000,test,
Qwen3.5-0.8B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:thinking:zero_shot:judge,accuracy,0.587000,test,
Qwen3.5-0.8B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:thinking:zero_shot:minimal,accuracy,0.674000,test,
Qwen3.5-0.8B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-0.8B:thinking:zero_shot,prompt_consistency,0.340000,test,items=1000
Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:thinking:few_shot_8:direct,accuracy,0.511000,test,
Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:thinking:few_shot_8:judge,accuracy,0.494000,test,
Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:thinking:few_shot_8:minimal,accuracy,0.495000,test,
Qwen3.5-0.8B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-0.8B:thinking:few_shot_8,prompt_consistency,0.536000,test,items=1000
Qwen3.5-0.8B_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:thinking:zero_shot:direct,accuracy,0.724000,test,
Qwen3.5-0.8B_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:thinking:zero_shot:judge,accuracy,0.617000,test,
Qwen3.5-0.8B_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B:thinking:zero_shot:minimal,accuracy,0.692000,test,
Qwen3.5-0.8B_thinking_test_metrics.csv,zero_shot,Qwen3.5-0.8B,prompt_consistency,0.360000,test,items=1000
Qwen3.5-2B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:non_thinking:zero_shot:direct,order_consistency,0.388000,test,matched=1000
Qwen3.5-2B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:non_thinking:zero_shot:judge,order_consistency,0.323000,test,matched=1000
Qwen3.5-2B_non_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:non_thinking:zero_shot:minimal,order_consistency,0.516000,test,matched=1000
Qwen3.5-2B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:non_thinking:zero_shot:direct,accuracy,0.561000,test,
Qwen3.5-2B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:non_thinking:zero_shot:judge,accuracy,0.509000,test,
Qwen3.5-2B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:non_thinking:zero_shot:minimal,accuracy,0.676000,test,
Qwen3.5-2B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:non_thinking:zero_shot,prompt_consistency,0.408000,test,items=1000
Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:non_thinking:few_shot_8:direct,accuracy,0.538000,test,
Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:non_thinking:few_shot_8:judge,accuracy,0.521000,test,
Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:non_thinking:few_shot_8:minimal,accuracy,0.618000,test,
Qwen3.5-2B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:non_thinking:few_shot_8,prompt_consistency,0.307000,test,items=1000
Qwen3.5-2B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:non_thinking:zero_shot:direct,accuracy,0.566000,test,
Qwen3.5-2B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:non_thinking:zero_shot:judge,accuracy,0.527000,test,
Qwen3.5-2B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:non_thinking:zero_shot:minimal,accuracy,0.684000,test,
Qwen3.5-2B_non_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B,prompt_consistency,0.418000,test,items=1000
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:direct,accuracy,0.568000,test,
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:judge,accuracy,0.538000,test,
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:minimal,accuracy,0.720000,test,
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5,prompt_consistency,0.550000,test,items=1000
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:direct,sampling_consistency,0.767200,test,items=1000
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:judge,sampling_consistency,0.778800,test,items=1000
Qwen3.5-2B_non_thinking_test_zero_shot_self_consistency_k5_metrics.csv,self_consistency_k5,Qwen3.5-2B:non_thinking:zero_shot_self_consistency_k5:minimal,sampling_consistency,0.794200,test,items=1000
Qwen3.5-2B_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:thinking:zero_shot:direct,order_consistency,0.691000,test,matched=1000
Qwen3.5-2B_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:thinking:zero_shot:judge,order_consistency,0.542000,test,matched=1000
Qwen3.5-2B_thinking_order_metrics.csv,order_consistency,Qwen3.5-2B:thinking:zero_shot:minimal,order_consistency,0.676000,test,matched=1000
Qwen3.5-2B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:thinking:zero_shot:direct,accuracy,0.784000,test,
Qwen3.5-2B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:thinking:zero_shot:judge,accuracy,0.665000,test,
Qwen3.5-2B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:thinking:zero_shot:minimal,accuracy,0.786000,test,
Qwen3.5-2B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3.5-2B:thinking:zero_shot,prompt_consistency,0.448000,test,items=1000
Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:thinking:few_shot_8:direct,accuracy,0.500000,test,
Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:thinking:few_shot_8:judge,accuracy,0.512000,test,
Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:thinking:few_shot_8:minimal,accuracy,0.501000,test,
Qwen3.5-2B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3.5-2B:thinking:few_shot_8,prompt_consistency,0.528000,test,items=1000
Qwen3.5-2B_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:thinking:zero_shot:direct,accuracy,0.803000,test,
Qwen3.5-2B_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:thinking:zero_shot:judge,accuracy,0.675000,test,
Qwen3.5-2B_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B:thinking:zero_shot:minimal,accuracy,0.800000,test,
Qwen3.5-2B_thinking_test_metrics.csv,zero_shot,Qwen3.5-2B,prompt_consistency,0.461000,test,items=1000
metrics.csv,roberta_original,roberta_finetuned,accuracy,0.868000,test,
order_metrics.csv,roberta_order,roberta_finetuned,accuracy,0.867000,test_swap,
order_metrics.csv,roberta_order,roberta_finetuned,order_consistency,0.939000,test,matched=1000
