id,sent0,sent1,gold
train_00181,He put a hat over his head,He put a teapot over his head,1
train_00182,You will never find a dog that likes to eat meat.,Dog's love eating meat.,0
train_00183,He opened the door,The door opened him,1
train_00184,He rode his car across the ocean,He rode his car across the highway,0
train_00185,I put my dog on the couch,I put my bowling alley on the couch,1
train_00186,There was an ant wrapped around a tree.,There was a snake wrapped around a tree.,0
train_00187,He played the piano with his fingers.,He played the piano with a ship.,1
train_00188,A pocket knife is useless.,A pocket knife is very useful.,0
train_00189,He ate a ham sandwich,He ate a lion sandwich,1
train_00190,The cat bites a cloud.,The cat bites a rubber ball.,0
train_00191,The man got in the car and drove off,The fish got into the car and drove off,1
train_00192,Cleveland is a state in America,Ohio is a state in America,0
train_00193,I baked a gluten-free cake.,I broiled a gluten-free cake.,1
train_00194,He plays tennis with a basketball ball,He plays tennis with a tennis ball,0
train_00195,There were a lot of people pulling a huge ten ton block.,There was one person pulling a massive ten ton block.,1
train_00196,a computer a day keeps doctors away,an apple a day keeps doctor away,0
train_00197,She put the shoe on her foot.,She put a shirt on her foot.,1
train_00198,Whales rain from the sky.,Rain fell from the sky,0
train_00199,A child can close a door.,A child can breath fire.,1
train_00200,There was a zebra hunting a lion.,There was a lion hunting a zebra.,0
train_00201,The dog chased the cat.,The dog chased the bed.,1
train_00202,Scales are used for measuring distances between things,A ruler is used for measuring distance between things,0
train_00203,A football is likely to be kicked by a footballer.,A footballer would never kick a football.,1
train_00204,He went on holiday to Chicken,He went on holiday to Turkey,0
train_00205,"When it is dark at home, you can turn on the light","When it is dark at home, you can turn on the heaters",1
train_00206,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.,0
train_00207,He drinks beer in a mug,He drinks beer in a dog,1
train_00208,The family came back from the moon,The family came back from the movies,0
train_00209,Sugar is sweet for humans,Sugar is bad for humans,1
train_00210,It rains often in Sahara,It rains often in London,0
train_00211,The man had a pizza for dinner,The man had an automobile for dinner,1
train_00212,she washed her hair with milk,She washed her hair with shampoo,0
train_00213,taking a walk in the park can be good for your health,taking a dump in the park can be good for your health,1
train_00214,Something you find at a water cooler is a living dinosaur,Something you find at a water cooler is co-workers,0
train_00215,She jumped into the water of a pool.,She jumped into the water of a glass.,1
train_00216,She lives in a snow globe.,She lives in a home.,0
train_00217,John plays the piano.,John plays the milk.,1
train_00218,You cannot hydrate yourself by drinking water.,People drink water to hydrate themselves.,0
train_00219,I take my medicine,My medicine take me,1
train_00220,He pulled a fan from the bottle.,He drew water from the bottle.,0
train_00221,Tomorrow is Friday.,Tomorrow is a water bottle.,1
train_00222,He cooks a bed in the pan.,He cooked milk in the pan.,0
train_00223,Dirty dishes can be cleaned in a dishwater.,Dirty dishes cannot be cleaned in a dishwasher.,1
train_00224,He put a shark into the cabinet.,He put a cat into the cabinet.,0
train_00225,The girl likes to eat sweets.,The girl likes to eat plastic.,1
train_00226,The cat barked at the mailman.,The dog barked at the mailman.,0
train_00227,If you drink a lot in the pub you will become drunk,"If before you go to the pub and you drink a lot, then afterwards you are drunk",1
train_00228,The woman played television,The woman played football,0
train_00229,The eagle flew high in the sky,The eagle flies deep in the ocean,1
train_00230,She went to the moon on Sunday,She went to the park on Sunday,0
train_00231,100 is one hundred,200 is one hundred,1
train_00232,She ran into the closet.,She ran on the track.,0
train_00233,he drank apple juice,he drank paper,1
train_00234,The girl was sleeping on a spoon,The girl was sleeping on a couch,0
train_00235,I typed something on the keyboard,I typed something on the floor,1
train_00236,The plane swam to Belize,The plane flew to Belize,0
train_00237,He visited a dentist to check his tooth pain,he visited a mechanic to check his tooth pain,1
train_00238,The dog goes flying three times a day.,The dog goes for a walk three times a day.,0
train_00239,You need to buy a ticket to enter a cinema,You need your passport to enter a cinema,1
train_00240,He didn't want to leave from inside his mailbox.,He didn't want to leave from inside his house.,0
train_00241,He unlocked the door with a key.,He unlocked the door with a shoe.,1
train_00242,He took his dog to the hairdresser for a health check-up.,He took his dog to the veterinarian for a health check-up.,0
train_00243,One of the things you do when you wake up is brushing your teeth,One of the things you do when you wake up is saying good night,1
train_00244,The children were happy seeing the monster,The Children were happy seeing the clown,0
train_00245,He carved the ham with a knife.,He carved the ham with a spoon.,1
train_00246,He took his dog to the gym to take his vaccines,He took his dog to the veterinary to take his vaccines,0
train_00247,"In the morning when I wake up, I eat breakfast.","In the morning when I wake up, I eat dinner.",1
train_00248,Potatos is the plural of potato,Potatoes is the plural of potato,0
train_00249,I found a notepad on a table.,I found a soap on a table.,1
train_00250,Something you might do while driving your car is fly a plane,Something you might do while driving your car is slam on the brakes,0
train_00251,People went to church to pray,People went to restaurant to pray,1
train_00252,He called the banker to complain about the robbery,He called the police to complain about the robber,0
train_00253,Curtains stop light from entering the room.,Curtains let more light into the room.,1
train_00254,He sent a text message in lunch box,He sent a text message in mobile,0
train_00255,An armchair is where people sit and relax,An stove is where people sit and relax,1
train_00256,The defendant sentenced the jury to death.,He was sentenced to death in a trial.,0
train_00257,He drinks tea every morning,He drinks petrol every morning,1
train_00258,James read the last page of the book and proceeded to eat it.,"James read the last page of the book, and put it back on the book shelf.",0
train_00259,She pushed her trolley around the supermarket to collect groceries,She drove her car around the supermarket to collect groceries,1
train_00260,You can buy pictures in a museum,You can see pictures in a museum,0
train_00261,He packed his clothes in a bag,He packed his clothes in a pen,1
train_00262,She put her shirt on her feet,She put her shoes on her feet,0
train_00263,He bought chicken to cook food,He bought plate to cook food,1
train_00264,I want to play football on my guitar,I want to play football on my xbox,0
train_00265,The student copied his professors notes.,The student called his professors notes.,1
train_00266,Mobiles are used to cleaning,Mobiles are easy to carry,0
train_00267,A bed is used for sleeping,A bed is used for watching television,1
train_00268,My friend drank sand in a glass.,My friend drank juice in a glass.,0
train_00269,She put a pie in the oven.,She put a pie in the bathtub.,1
train_00270,She was eating shoe,She was eating chocolate,0
train_00271,She got into bed to sleep.,She got into the bathtub to sleep.,1
train_00272,She put a gorilla in the oven.,She put a pizza in the oven.,0
train_00273,Umbrella is used during a rainy day.,Sunscreen is used during a rainy day.,1
train_00274,we can have a shower in the kitchen,we can cook food in the kitchen,0
train_00275,Food baked longer than recommended can burn,Food refrigerated longer than recommended can burn,1
train_00276,The mall drove to Jim,Jim drove to the mall,0
train_00277,She heated up the water to make tea.,She heated up the water to make icecream.,1
train_00278,A teddy is a weapon,A sword is a weapon,0
train_00279,A planet has a sphere shape,A planet has a square shape,1
train_00280,He put a cat in the freezer.,He put frozen turkey in the freezer.,0
train_00281,Grass is green,Grass is orange,1
train_00282,Plant can have buffalo for dinner.,Most plants have green leaves.,0
train_00283,The doctor gave vaccine through injection,The doctor gave vaccine through stethoscope,1
train_00284,My house is homosexual.,My house is white.,0
train_00285,You can buy beer in bottles,You can buy cigarettes in bottles,1
train_00286,Eating lot of food makes you tall,Eating lot of food makes you fat,0
train_00287,Adjectives are a part of speech,Adjectives are a part of pizza,1
train_00288,It rains occasionally which is horrible for the trees and grass.,It rains occasionally which is good for the trees and grass.,0
train_00289,If she is dead she won't be buying anything any more.,If she is dead she will buy a new house.,1
train_00290,The log jumped over a dog.,The dog jumped over a log.,0
train_00291,She worked out the answer on the calculator,She worked out the question on the calculator,1
train_00292,She hung an elevator on the wall.,She hung a picture frame on the wall.,0
train_00293,Anxiety disorders affect around 10% of people at any one time.,10% of disordered people are anxious about anything all the time.,1
train_00294,Boats sail on the sand.,Boats sail on the water.,0
train_00295,Doctors are good people,Burglars are good people,1
train_00296,I wore a rainbow bowtie to the funeral,I wore a black tie to the funeral,0
train_00297,The Teacher Scolded the Students,The Students Scolded the Teacher,1
train_00298,They switched on the stove to watch their favourite programme,They switched on the television to watch their favourite programme,0
train_00299,he kept ice cream in the freezer,he kept ice cream in oven,1
train_00300,She was frying the nuts in freezer,She was frying the nuts in hot pan,0
train_00301,Learning how to cycle is easy,Learning a language is easy,1
train_00302,Michelle put a couch in the back of her car,Michelle put a TV in the back of her car.,0
train_00303,you will find a rock in a mountain,you will find a shark in a mountain,1
train_00304,The ferry crossed the river on the car.,The car crossed the river on the ferry.,0
train_00305,The rain made my t-shirt wet.,The sun made my t-shirt wet.,1
train_00306,she was swimming in hot oil.,she was swimming in hot  water.,0
train_00307,Bella loves to dance in a ballroom in her pink dress,Bella loves to dance in a ballroom in her pink car.,1
train_00308,Eggs are usually used as cricket ball,Eggs usually used to eat,0
train_00309,One thing you will see at a Tyre change shop is a compressor,One thing you will see at a Tyre change shop is a juice maker,1
train_00310,Umbrellas are good means of communication,Mobile phones are good means of communication,0
train_00311,Winter coats are helpful in cold temperatures.,Winter coats are helpful in summer.,1
train_00312,He ate a mobile phone,He ate an apple,0
train_00313,Pencils contain a graphite core,Pencils contain a chocolate core,1
train_00314,he cut the cheese with axe,he cut the cheese with knife,0
train_00315,He took his family to restaurant for dinner,He took his family to restaurant for movie,1
train_00316,Players play soccer with mountain shoes,Players play soccer with sports shoes,0
train_00317,His reflection was visible in the mirror,His reflection was invisible in the mirror.,1
train_00318,He was eating spoon,He was eating hotdogs,0
train_00319,I will play the guitar in class tomorrow in front of students,I will play the table in class tomorrow in front of students,1
train_00320,A lathe is only for making table legs.,A lathe is used to shape material.,0
train_00321,Coffee is a drink with brown colour,Water is a drink with brown colour,1
train_00322,Computer use people to make money.,People use computer to make money.,0
train_00323,A policeman carries a gun.,A policeman carries a sword.,1
train_00324,Boats can row people.,People can row boats.,0
train_00325,bridges are built to cross rivers,bridges are built to attract tourists,1
train_00326,He puts nails on his sandwich,He puts ham on his sandwich.,0
train_00327,Something you find in a living room is a chair,Something you find in a living room is a cheetah,1
train_00328,A fox is a bird,A fox is an animal,0
train_00329,He puts the lotion in the basket,He rubs the lotion on the basket,1
train_00330,You are likely to meet a car accident inside home,You are likely to meet a car accident on the road,0
train_00331,No person would want to live with rats,No person would want to live with a cat,1
train_00332,He read a wardrobe in rhe table,He read a book in the table,0
train_00333,A grey cat chases a small rat away,A small rat chases a grey cat away,1
train_00334,She went to the clothing store to have a surgery.,She went to the hospital to have a surgery.,0
train_00335,The keyboard makes a clicking sound when it is typed on.,The keyboard makes a splashing sound when it is typed on.,1
train_00336,Chalk is a common food item at birthday parties.,Cake is a common food item at birthday parties.,0
train_00337,A joey is a baby kangaroo,A fan is a baby kangaroo,1
train_00338,He drove his car down the river.,He drove his car down the street.,0
train_00339,Cars have got four wheels,Cars have got ten wheels,1
train_00340,he clicked the computer screen with dog,He clicked the computer screen with mouse,0
train_00341,She will give birth after 9 months of pregnancy,She will give birth after 2 months of pregnancy,1
train_00342,A passport is necessary to travel from one restaurant to another.,A passport is necessary to travel from one country to another.,0
train_00343,Jonathan smells bad when organic litter is near,Jonathan smells good when organic litter is near,1
train_00344,A spaceship is a way to get from one side of a water way to another.,A tunnel is a way to get from one side of a water way to another.,0
train_00345,He bought a gift for his friend wedding,he bought a gift for his friend's funeral,1
train_00346,she applied toothpaste on her face in summer,She applied sunscreen on her face in summer,0
train_00347,Four quarters is equal to one whole.,Seven quarters is equal to one whole.,1
train_00348,Phones grow on trees,Apples grow on trees,0
train_00349,Pencil can be erased more easily than crayon,Permanent marker can be erased more easily than crayon,1
train_00350,It is likely that she will get into university with her fail in the qualifying exam,It is likely that she will get into university with her pass in the qualifying exam,0
train_00351,He called his wife on her mobile,He called his wife on her pen,1
train_00352,She put a train in the car.,She put a dog in the car.,0
train_00353,The wood plank was floating on the lake,The steel plank was floating on the lake,1
train_00354,He stored rice in a pen drive,He stored music files in a pen drive,0
train_00355,"A basil plant needs sun, water and soil in order to flourish.","An infant needs sun, water and soil in order to flourish.",1
train_00356,I ride a leopard to work every day,I drive a car to work every day,0
train_00357,You can use a pool to swim,You can use a pool to place an elephant,1
train_00358,He drove the truck from continent to continent.,The truck drove on the highway.,0
train_00359,I walked on land,I walked on water,1
train_00360,There are four mountains around the table,There are four stools around the table,0
train_00361,The girl rode the bike.,The ant rode the bike.,1
train_00362,He checked time on his shoe,He checked time on his watch,0
train_00363,The criminal was sentenced to 2 years in prison.,The criminal was sentenced to 2 years in library.,1
train_00364,He was swimming in a ground,He was swimming in a swimming pool,0
train_00365,Bill has got two friends in Belgic,Bill has got two islands in Belgic,1
train_00366,The unicorn went down the hole.,The rabbit went down the hole.,0
train_00367,My Dog eats chicken preparation for dinner.,My Dog eats wood for dinner.,1
train_00368,Eating a lot of sand can cause obesity,Eating a lot of sugary foods can cause obesity,0
train_00369,He waved hands at his friends,He waved hands at his bike,1
train_00370,john parked his car in the bathroom,John parked his car in the garage,0
train_00371,He was reading a book,He was eating a book,1
train_00372,A person must eat more meat to have a longer life,A person must exercise more to have a longer life,0
train_00373,He liked the food made by the chef,He liked the food made by the dog,1
train_00374,He got into the bathtub to sleep.,He got into the bed to sleep.,0
train_00375,Beef stew should be cooked at 325 degrees for 3 hours,"Beef stew should be cooked at 3,250 degrees for 36 hours",1
train_00376,Food eat her a lot.,She eat a lot of food.,0
train_00377,You can find windows on a building,You will always find windows on a building,1
train_00378,It is desirable to put children's in jail at the age of six,It is desirable to put children's in school at the age of six,0
train_00379,Going to work is for making money.,Work is going to make money.,1
train_00380,the student uses a wand to take the test,The student uses a pencil to take a test,0
train_00381,A purse is a fashionable way to carry around essential items.,A purse is a fashionable way to carry around roller blades.,1
train_00382,A kite is crying in the air.,A kite is flying in the air.,0
train_00383,He went to saloon to do a hair cut,He went to theater to do a hair cut,1
train_00384,"When driving, it's important to keep both feet on the steering wheel.","When driving, it's important to keep both hands on the steering wheel.",0
train_00385,He took his animal to a vet for treatment,He took his animal to a painter for treatment,1
train_00386,All men bite dogs,Some dogs bite men,0
train_00387,The cops arrested the Thief,The Thief arrested the cops,1
train_00388,Mom put the baby down the water slide to walk to the park,Mom put baby into the stroller to walk to the park,0
train_00389,She went to school,The school went to her,1
train_00390,He drives a steamship at his job in the stadium.,He drives a steamship at his job.,0
train_00391,he was eating cake,he was eating grass,1
train_00392,You would eat a horse because you are hungry,You would eat lunch because you are hungry,0
train_00393,He travelled to Europe by plane.,He travelled to Europe by bird.,1
train_00394,The man threw the garbage into his mouth,The man threw the garbage into the dumpster,0
train_00395,"After throwing a ball upwards, it will come down again","After throwing a ball upwards, it will keep going up",1
train_00396,Some dogs jump from one branch to another on a tree,Some monkeys jump from one branch to another on a tree,0
train_00397,The adults have careers.,The babies have careers.,1
train_00398,people usually eat soups with knives,people usually eat soup with spoons,0
train_00399,He unlocked the door,He unlocked the wall,1
train_00400,She cooked rice in the bathtub.,She cooked rice in the pan.,0
train_00401,He gave her a necklace for her birthday.,He gave her a rock for her birthday.,1
train_00402,He replaced the bulb in the lamp with a salmon,He replaced the bulb in the lamp with a new LED bulb,0
train_00403,Edward installed solar panels on the roof,He put a nuclear plant on the roof,1
train_00404,Ten plus six equals ten,Four plus six equals ten,0
train_00405,I ate a biscuit,I ate a bike wheel,1
train_00406,Home auto cleans itself.,You clean home everyday.,0
train_00407,The airplane flew high into the sky.,The sailboat flew high into the sky.,1
train_00408,She walked over the house,She walked into the house,0
train_00409,A paperclip clips paper together.,A paperclip cuts paper into pieces.,1
train_00410,Music feel alright with humans.,Music makes humans feel alright.,0
train_00411,I wear clothes everyday.,Clothes wear me everyday.,1
train_00412,The students went to the plumber to get the assignment corrected,The students went to the teacher to get the assignment corrected,0
train_00413,He was watching his favorite show in television,He was watching his favorite show in oven,1
train_00414,The horse barked at the dog,The dog barked at the horse,0
train_00415,She used a telephone to call her mother,She used a banana to call her mother,1
train_00416,He caught a fishing rod with a fish,He caught a fish with a fishing rod,0
train_00417,Girls have two boobs,Girls have three boobs,1
train_00418,The chef cooked food on speaker,The chef cooked food on stove,0
train_00419,He was playing a chess game,He was playing a shoe,1
train_00420,The doctor checked the temperature with stethoscope,The doctor checked the temperature with thermometer,0
train_00421,They were catching fish in the lake,They were catching fish in the cooker,1
train_00422,Students teach teachers,Teachers teach students,0
train_00423,He was drinking water to quench his thirst,He was drinking cake to quench his thirst,1
train_00424,He was washing his car with sandpaper,He was washing his car with water,0
train_00425,He was doing exercise in gym,He was doing exercise in fridge,1
train_00426,Protecting irrelevant matters is a matter of survival.,Protecting your own interests is a matter of survival.,0
train_00427,He sent an email from his computer,He sent an email from his fridge,1
train_00428,John likes to have arsenic after dinner.,John likes to have ice cream after dinner.,0
train_00429,He saw a spider web,He saw a lion web,1
train_00430,The man hit a football for a home run.,The man hit a home run.,0
train_00431,She ate fruit for breakfast.,She ate dirt for breakfast.,1
train_00432,At night sunlight show their path,At night moonlight show their path,0
train_00433,The weather is so cold that it began to snow.,The weather is so hot that it began to snow.,1
train_00434,door on the sewing machine. A door is too,She sewed an outfit on the sewing machine. She sewed a,0
train_00435,water is essential for health,water is unwanted thing to body,1
train_00436,An antelope is docked at the pier.,A sailboat is docked at the pier.,0
